customer_id,first_name,last_name,email,phone,address
e72518e4-86f4-4230-a125-e5da0c50a73b,Denise,Donaldson,ginamoore@example.net,2734115066,"350 Deleon Views Apt. 481, Ritafort, PA 31865"
bcc21d1c-12c5-4231-a144-03c353f8529d,Jessica,Wyatt,brittany04@example.com,661-478-1094x33491,"9665 Sanders Islands, Delacruzland, MH 76940"
f0290477-87a8-47da-b0ff-960521ad469b,Sarah,Raymond,potterchad@example.com,(343)594-2635x508,"Unit 3587 Box 3766, DPO AE 99145"
91e705a4-b3e8-49f2-b90d-3afc1e277e82,Timothy,Howard,manningdavid@example.org,801.397.2021,"81843 Harrison Bypass Apt. 357, West Brendaport, AR 72118"
78939b17-4a34-4d1d-9d83-25b689a88a6e,Frederick,Frey,stevenkim@example.com,(667)213-2652x7576,"689 Rachel Drive Suite 039, Lake Gabrielland, MN 38120"
9eb405ca-38f7-4163-8c8b-e7175d334978,Lori,Lucas,erictaylor@example.org,797-761-4230x0747,"62504 Shelton Plaza Apt. 223, West Christian, IL 57118"
24364b7a-5b93-49d9-971b-a1bb4a9822ec,Annette,Lambert,darrellbrown@example.net,471.552.1943,"16403 Oconnor Vista, Lake Sean, CT 91396"
7b07e1c4-833b-4abb-9eeb-bca99fffeda6,Jerry,Olson,wsmith@example.net,001-580-514-2535,"346 Louis Forge Apt. 738, Spencerchester, NM 04088"
b24a4a65-39c4-4112-80f5-10584c8c3eb7,Jared,Jones,kwade@example.com,202-836-7684,"97583 Marc Divide Apt. 424, South Meganchester, AS 71131"
e05a2bfe-f5ad-4377-8b12-2b0c83c027c4,Jeffrey,Lewis,yharris@example.org,665.219.7173,"646 Adam Isle, Holderland, VA 68285"
1fdd6c79-887a-441c-97e1-ea80490ebdd3,Reginald,Alexander,conwaylaura@example.org,+1-625-820-8716x982,"8749 Thompson Ways, Matthewport, MN 21005"
92351bbc-45f0-4bc6-820e-ae04e96e26d8,Gerald,Summers,millermonique@example.net,486-958-3975,"3696 Davis Mountain, South Thomasside, AS 97081"
7ae010f0-6134-46f8-9542-27bcd7198332,Brandon,Yang,qmyers@example.com,001-368-429-9737,"5284 Williams Gateway, Turnerchester, MH 35595"
3b5c1164-cb82-4c2b-ac55-f5cc74b91981,Thomas,Cain,pcombs@example.net,751.960.1858,"9046 Carey Ranch, West Karenview, WV 22831"
734d2f47-0fcf-494f-a611-41013ffa92a2,Thomas,Jones,welchjennifer@example.org,+1-250-262-3171x262,"95649 Schneider Gateway, South Kimberly, WI 65144"
